S,P,O1,O2,S_perf,P_perf,O1_perf,O2_perf,pos1,pos2,pos3,pos4,subject_id,trial,rt,decision_type,bonus,response,response_n,dec_OC,out_eng,dec_num_n,correct,init,age,sex,version
4,4,4,2,,,,,2,0,1,3,oep739p,72,425.80000000074506,2,-0.5,,0,2,1.5,1,0,SC,16,W,NA
4,4,4,2,,,,,2,0,1,3,oep739p,72,364.80000000074506,4,-0.5,,1,2,1.5,2,1,SC,16,W,NA
3,5,3,4,,,,,0,3,1,2,oep739p,73,384.3999999985099,4,-0.5,,0,2,0.5,1,0,SC,16,W,NA
3,5,3,4,,,,,0,3,1,2,oep739p,73,283.5,2,0.5,,1,2,-0.5,2,0,SC,16,W,NA
3,3,2,4,,,,,1,2,0,3,oep739p,74,199.69999999925494,5,0.5,,0,NA,0.5,1,0,SC,16,W,NA
3,3,2,4,,,,,1,2,0,3,oep739p,74,9.799999997019768,3,0.5,,1,1,1.5,2,1,SC,16,W,NA
3,5,3,2,,,,,1,0,3,2,oep739p,75,4210.900000002235,1,-0.5,,0,1,-0.5,1,1,SC,16,W,NA
3,5,3,2,,,,,1,0,3,2,oep739p,75,0.29999999701976776,5,0.5,,0,NA,3.5,2,0,SC,16,W,NA
3,3,5,5,,,,,0,2,1,3,oep739p,76,1864.7999999970198,3,0.5,,0,1,-1.5,1,1,SC,16,W,NA
3,3,5,5,,,,,0,2,1,3,oep739p,76,2201.89999999851,4,0.5,,0,2,-1.5,2,1,SC,16,W,NA
0,2,4,3,,,,,2,3,1,0,oep739p,77,586.6000000014901,4,0.5,,0,2,-0.5,1,1,SC,16,W,NA
0,2,4,3,,,,,2,3,1,0,oep739p,77,105.69999999925494,3,-0.5,,1,1,-2.5,2,0,SC,16,W,NA
2,4,2,4,,,,,0,2,3,1,oep739p,78,399.3999999985099,3,0.5,,0,1,2.5,1,0,SC,16,W,NA
2,4,2,4,,,,,0,2,3,1,oep739p,78,90.69999999925494,1,-0.5,,1,1,-0.5,2,0,SC,16,W,NA
5,5,3,3,,,,,3,2,0,1,oep739p,79,1198.300000000745,1,0.5,,0,1,2.5,1,0,SC,16,W,NA
5,5,3,3,,,,,3,2,0,1,oep739p,79,621.8999999985099,5,-0.5,,1,NA,3.5,2,1,SC,16,W,NA
2,3,6,4,,,,,3,1,2,0,oep739p,80,841.8999999985099,3,-0.5,,0,1,-3.5,1,1,SC,16,W,NA
2,3,6,4,,,,,3,1,2,0,oep739p,80,332.79999999701977,5,0.5,,1,NA,-4.5,2,0,SC,16,W,NA
5,5,3,3,,,,,0,1,3,2,oep739p,81,351.69999999925494,2,-0.5,,0,2,1.5,1,0,SC,16,W,NA
5,5,3,3,,,,,0,1,3,2,oep739p,81,174,3,-0.5,,1,1,1.5,2,1,SC,16,W,NA
1,4,6,5,,,,,2,0,1,3,oep739p,82,538.9000000022352,4,0.5,,0,2,-0.5,1,1,SC,16,W,NA
1,4,6,5,,,,,2,0,1,3,oep739p,82,402.19999999925494,5,0.5,,1,NA,-5.5,2,0,SC,16,W,NA
4,5,4,6,,,,,0,3,2,1,oep739p,83,262.5,2,0.5,,0,2,-1.5,1,1,SC,16,W,NA
4,5,4,6,,,,,0,3,2,1,oep739p,83,270.3999999985099,4,0.5,,1,2,-0.5,2,0,SC,16,W,NA
2,5,3,4,,,,,3,1,0,2,oep739p,84,1538.7000000029802,5,0.5,,0,NA,0.5,1,0,SC,16,W,NA
2,5,3,4,,,,,3,1,0,2,oep739p,84,1099.9000000022352,1,-0.5,,1,1,-1.5,2,0,SC,16,W,NA
4,4,6,4,,,,,2,3,0,1,oep739p,85,1676,2,0.5,,0,2,0.5,1,0,SC,16,W,NA
4,4,6,4,,,,,2,3,0,1,oep739p,85,1354,5,0.5,,0,NA,-1.5,2,1,SC,16,W,NA
4,4,6,4,,,,,1,3,2,0,oep739p,86,1430,4,0.5,,0,2,0.5,1,0,SC,16,W,NA
4,4,6,4,,,,,1,3,2,0,oep739p,86,669.1000000014901,5,-0.5,,0,NA,-2.5,2,1,SC,16,W,NA
3,4,4,5,,,,,1,2,3,0,oep739p,87,168.80000000074506,3,0.5,,0,1,0.5,1,0,SC,16,W,NA
3,4,4,5,,,,,1,2,3,0,oep739p,87,183.19999999925494,2,0.5,,0,2,-1.5,2,1,SC,16,W,NA
3,5,4,2,,,,,2,1,3,0,oep739p,88,809.6000000014901,4,-0.5,,0,2,2.5,1,0,SC,16,W,NA
3,5,4,2,,,,,2,1,3,0,oep739p,88,445.6000000014901,5,-0.5,,0,NA,1.5,2,0,SC,16,W,NA
4,2,3,5,,,,,1,3,0,2,oep739p,89,77.20000000298023,1,0.5,,0,1,1.5,1,0,SC,16,W,NA
4,2,3,5,,,,,1,3,0,2,oep739p,89,509.80000000074506,4,0.5,,0,2,-2.5,2,1,SC,16,W,NA
4,3,4,4,,,,,3,0,2,1,oep739p,90,309.69999999925494,5,0.5,,0,NA,-0.5,1,1,SC,16,W,NA
4,3,4,4,,,,,3,0,2,1,oep739p,90,786.6000000014901,2,-0.5,,0,2,-0.5,2,1,SC,16,W,NA
1,5,1,3,,,,,3,0,1,2,oep739p,91,1100.800000000745,5,-0.5,,0,NA,1.5,1,0,SC,16,W,NA
1,5,1,3,,,,,3,0,1,2,oep739p,91,102.10000000149012,3,-0.5,,0,1,3.5,2,0,SC,16,W,NA
3,3,4,3,,,,,2,1,0,3,oep739p,92,495,5,-0.5,,0,NA,-1.5,1,1,SC,16,W,NA
3,3,4,3,,,,,2,1,0,3,oep739p,92,93.29999999701977,4,-0.5,,0,2,-0.5,2,1,SC,16,W,NA
5,1,5,6,,,,,0,1,2,3,oep739p,93,475.6000000014901,5,0.5,,0,NA,-4.5,1,1,SC,16,W,NA
5,1,5,6,,,,,0,1,2,3,oep739p,93,749.6999999992549,2,-0.5,,1,2,-1.5,2,0,SC,16,W,NA
5,3,5,5,,,,,2,0,3,1,oep739p,94,540.5,2,0.5,,0,2,0.5,1,0,SC,16,W,NA
5,3,5,5,,,,,2,0,3,1,oep739p,94,460.1000000014901,5,-0.5,,0,NA,-2.5,2,1,SC,16,W,NA
1,4,4,4,,,,,1,0,2,3,oep739p,95,440.70000000298023,5,-0.5,,0,NA,-3.5,1,1,SC,16,W,NA
1,4,4,4,,,,,1,0,2,3,oep739p,95,222.60000000149012,3,0.5,,0,1,0.5,2,0,SC,16,W,NA
0,4,4,6,,,,,3,2,1,0,oep739p,96,512.7000000029802,1,0.5,,0,1,-3.5,1,1,SC,16,W,NA
0,4,4,6,,,,,3,2,1,0,oep739p,96,105.59999999776483,2,0.5,,1,2,-5.5,2,0,SC,16,W,NA
4,1,4,5,,,,,1,2,3,0,oep739p,97,396.19999999925494,1,0.5,,0,1,0.5,1,0,SC,16,W,NA
4,1,4,5,,,,,1,2,3,0,oep739p,97,113.30000000074506,5,0.5,,1,NA,-3.5,2,0,SC,16,W,NA
3,4,4,3,,,,,0,2,1,3,oep739p,98,426.69999999925494,3,0.5,,1,1,0.5,1,1,SC,16,W,NA
3,4,4,3,,,,,0,2,1,3,oep739p,98,329.6000000014901,5,0.5,,0,NA,0.5,2,0,SC,16,W,NA
5,5,2,5,,,,,1,0,3,2,oep739p,99,1375.5,5,0.5,,1,NA,3.5,1,1,SC,16,W,NA
5,5,2,5,,,,,1,0,3,2,oep739p,99,109,1,-0.5,,0,1,2.5,2,0,SC,16,W,NA
5,5,4,4,,,,,3,2,0,1,oep739p,100,11721.099999997765,5,-0.5,,0,NA,1.5,1,0,SC,16,W,NA
5,5,4,4,,,,,3,2,0,1,oep739p,100,1276.8999999985099,4,0.5,,0,2,1.5,2,0,SC,16,W,NA
4,4,4,3,,,,,3,0,1,2,oep739p,101,707.5,1,-0.5,,0,1,-0.5,1,1,SC,16,W,NA
4,4,4,3,,,,,3,0,1,2,oep739p,101,12.299999997019768,3,-0.5,,1,1,-0.5,2,0,SC,16,W,NA
3,4,6,2,,,,,2,1,3,0,oep739p,102,1804.699999999255,5,-0.5,,0,NA,-1.5,1,1,SC,16,W,NA
3,4,6,2,,,,,2,1,3,0,oep739p,102,268.70000000298023,4,0.5,,0,2,2.5,2,0,SC,16,W,NA
1,3,5,5,,,,,3,1,2,0,oep739p,103,350.1000000014901,3,0.5,,1,1,-1.5,1,0,SC,16,W,NA
1,3,5,5,,,,,3,1,2,0,oep739p,103,243.5,5,-0.5,,0,NA,-6.5,2,1,SC,16,W,NA
3,5,3,4,,,,,1,3,2,0,oep739p,104,290.6000000014901,2,0.5,,0,2,-0.5,1,1,SC,16,W,NA
3,5,3,4,,,,,1,3,2,0,oep739p,104,78.19999999925494,1,0.5,,1,1,0.5,2,1,SC,16,W,NA
4,4,3,4,,,,,0,1,3,2,oep739p,105,456.1000000014901,4,0.5,,0,2,0.5,1,0,SC,16,W,NA
